Restaurant Name,Cuisine,Average Cost,Rating,City
Ghar Se Rasoi,"North Indian, Fast Food, Biryani",150,4.3,Meerut
Ghar Se Rasoi Pure Veg,"North Indian, Biryani",150,4.2,Meerut
Gharelu Swadh,North Indian,100,4.0,Kharagpur
Gharer Khaber,North Indian,150,3.4,Kolkata
Gharkul Dining,Biryani,150,3.6,Solapur
Ghate s Dugdha Mandir,"South Indian, North Indian, Street Food",50,4.0,Nagpur
Ghathi com,Street Food,250,4.4,Lucknow
Ghazal Hotel Kosala,North Indian,200,4.1,Vijayawada
Ghazipuri Pandit Jee Bhojanalaya,"North Indian, Fast Food, Street Food",100,3.0,Allahabad
Ghee and Turmeric,North Indian,150,3.9,Bangalore
Ghee and Turmeric,North Indian,350,4.2,Delhi NCR
Ghee and Turmeric,North Indian,200,4.3,Chandigarh
Ghee Shakkar,North Indian,200,4.0,Chandigarh
Ghee Tadka Khichdi,North Indian,50,4.2,Bangalore
Ghiza Family Restaurant,"North Indian, Fast Food, Biryani",200,4.2,Vijayawada
Ghoomar Rajpurohit Dhaba,North Indian,200,3.9,Belgaum
Ghoomar Traditional Thali Restaurant,North Indian,300,3.4,Bhopal
Ghoomar Traditional Thali Restaurant,North Indian,100,3.9,Guwahati
Ghoomar Traditional Thali Restaurant,North Indian,200,3.9,Patna
Ghoomar Traditional Thali Restaurant,Indian,300,3.9,NCR
Ghosh Food Corner,South Indian,150,3.5,Kolkata
Ghosh Sweets Corner,Indian,250,4.4,Siliguri
Ghouse Fresh Juice,Indian,200,3.7,Vellore
Ghouse Fruit Fresh Juice,Indian,150,3.1,Vellore
Ghousia Hotel,"North Indian, Biryani",150,4.2,Jamshedpur
Ghrelin Cafe Patisserie,Fast Food,300,4.3,Hyderabad
Ghungroo Seth Vada Pav Co,"Fast Food, Street Food",150,4.0,Kota
Ghungroo Seth Vada Pav Company,"Fast Food, Street Food",200,4.2,Jaipur
Giani Ice Cream,Indian,150,3.3,Goa
Giani Ice Cream,Indian,100,3.7,Guntur
Giani Ice Cream,Indian,250,3.8,Kolkata
Giani Ice Cream,Indian,100,3.9,Dehradun
Giani Ice Cream,Indian,100,3.9,Agra
Giani Ice Cream,Indian,100,4.0,Vijayawada
Giani Ice Cream,Indian,100,4.0,Lucknow
Giani Ice Cream,Indian,100,4.0,Bhopal
Giani Ice Cream,Indian,150,4.0,Jamshedpur
Giani Ice Cream,Indian,150,4.0,Patna
Giani Ice Cream,Indian,300,4.0,Mumbai
Giani Ice Cream,Indian,100,4.1,Salem
Giani Ice Cream,Indian,150,4.1,Lucknow
Giani Ice Cream,Indian,200,4.2,Dehradun
Giani Ice Cream,Indian,200,4.2,Vellore
Giani Ice Cream,Indian,250,4.2,Amritsar
Giani Ice Cream,Indian,250,4.2,Jalandhar
Giani Ice Cream,Indian,50,4.3,Siliguri
Giani Ice Cream,Indian,100,4.3,Mysore
Giani Ice Cream,Indian,150,4.3,Guwahati
Giani Ice Cream,Indian,250,4.3,NCR
Giani Ice Cream,Indian,250,4.3,Delhi NCR
Giani Ice Cream,Indian,50,4.4,Allahabad
Giani Ice Cream,Indian,100,4.4,Haridwar
Giani Ice Cream,Indian,150,4.5,Bhubaneswar
Giani Ice Cream,Indian,200,4.5,Varanasi
Giani Icecream,Indian,100,4.2,Ranchi
Giani Vaishno Dhaba,North Indian,200,3.8,Ludhiana
Giani s,Indian,250,3.7,Ludhiana
Giani s,Indian,150,4.0,Mumbai
Giani s,Indian,150,4.1,Jabalpur
Giani s,Indian,150,4.2,Dehradun
Giani s,Indian,200,4.3,Moradabad
Giani s,Indian,250,4.4,Jaipur
Giani s,Indian,250,4.4,Varanasi
Gianis Ice Cream Shakes Sundaes,Indian,150,3.8,Kolkata
Gianis Ice Cream Shakes Sundaes,Indian,100,3.9,Chandigarh
Gianis Ice Cream Shakes Sundaes,Indian,100,4.0,Amritsar
Gianis Ice Cream Shakes Sundaes,Indian,50,4.1,Delhi NCR
Gianis Ice Cream Shakes Sundaes,Indian,100,4.1,Patiala
Gianis Ice Cream Shakes Sundaes,Indian,100,4.1,Kanpur
Gianis Ice Cream Shakes Sundaes,Indian,200,4.1,NCR
Gianis Ice Cream Shakes Sundaes,Indian,150,4.2,Jalandhar
Gianis Ice Cream Shakes Sundaes,Indian,50,4.3,Lucknow
Gianis Ice Cream Shakes Sundaes,Indian,150,4.3,Gorakhpur
Gianis Ice Cream Shakes Sundaes,Indian,150,4.3,Hyderabad
Gianis Ice Cream Shakes Sundaes,Indian,250,4.3,Nagpur
Gianis Ice Cream Shakes Sundaes,Indian,150,4.4,Allahabad
Gianis Ice Cream Shakes Sundaes,Indian,200,4.4,Raipur
Gianis Ice Cream Shakes Sundaes,Indian,250,4.4,Jaipur
Giaspura Tikki And Fast Food,Fast Food,100,3.9,Ludhiana
Gift Restaurant,Biryani,100,3.8,Thrissur
Giftskota Cakes And Bakes,Bakery,100,3.9,Kota
Giftz Bag Cakes Bakes,"Fast Food, Bakery",200,3.7,Ajmer
Gigil Brasserie The Food Lover s Cafe,Fast Food,50,3.8,Rajkot
Gigil Cafe,Fast Food,150,4.4,Junagadh
Gil Bakers,Bakery,100,3.7,Saharanpur
Gill Momos,Fast Food,250,3.8,Amritsar
Gin N Ginger,"North Indian, Fast Food",400,4.3,Kanpur
Ginger Garlic,Indian,200,3.6,Goa
Ginger Cafe Et Cetera,"South Indian, North Indian, Fast Food, Street Food, Biryani",100,4.1,Puducherry
Ginger Garlic,Indian,100,4.1,Chennai
Ginger House Family Restaurant,"North Indian, Fast Food, Biryani",100,4.0,Mangalore
Ginni Tasty,"North Indian, Street Food",100,3.8,Patna
Ginni Buns,Fast Food,150,3.5,Chandigarh
Ginni Buns,Fast Food,150,4.1,Haridwar
Girgit Resto Cafe,Fast Food,100,3.4,Mangalore
Giridhar,"North Indian, Street Food",100,4.2,Pune
Girija South Indian Hotel,"South Indian, Street Food",150,3.3,Kharagpur
Giriraj Chinese Family Restaurant,"North Indian, Fast Food",150,4.0,Nashik
Giriraj Pizzeria,Indian,250,4.0,Durgapur
Girnar Restaurant,North Indian,100,3.8,Indore
Girnar Restaurant,"North Indian, Fast Food, Biryani",100,3.9,Raipur
Gismat Arabic Restaurant,Biryani,150,3.7,Guntur
Gismat Arabic Restaurant,Indian,150,3.8,Vijayawada
Gita Samosa Center,"South Indian, Fast Food, Street Food",200,4.3,Ahmedabad
Gita Samosa Centre,"Fast Food, Street Food",300,4.2,Ahmedabad
Gita s Fast Food,Fast Food,100,3.5,Surat
GJ Bistro,Indian,100,4.1,Jamnagar
GJ Kathiyavadi Thali,Indian,350,3.8,Ahmedabad
GJ Sandwich And Pizza,Indian,50,4.2,Rajkot
Gj s Top N Town,Indian,100,4.4,Indore
GK Family Dhaba Restaurant,"South Indian, North Indian, Street Food, Biryani",150,4.4,Nellore
GK Tandoori Grill,"North Indian, Fast Food",150,3.3,Dehradun
GK Vaishnu Dhaba,North Indian,300,3.6,Jalandhar
Gkay s Restaurant,"North Indian, Fast Food",350,3.8,Aligarh
GKC Chaap Plaza,North Indian,250,3.4,Jalandhar
GK s Ramkrishna Pure Veg,"North Indian, Biryani",150,4.3,Kolhapur
GKS Restaurant,"South Indian, North Indian, Biryani",150,3.8,Surat
Glen s Bakehouse,Bakery,150,4.0,Mysore
Glen s Bakehouse,"Fast Food, Bakery",100,4.3,Bangalore
Glitter Latte,Fast Food,100,4.2,Cuttack
Global Adda,Fast Food,150,4.2,Durgapur
Global Bites,Indian,300,3.3,Jamshedpur
Global Punjab,"North Indian, Biryani",150,4.2,Pune
Global Shudh Desi,North Indian,50,3.6,Patiala
Globe,"Fast Food, Bakery",200,4.5,Lucknow
GLOBO Ice Creams Of The World,Indian,200,4.2,Pune
Glory The Apex Cake Shop,Fast Food,150,3.1,Durgapur
GMB Gopika Sweets Restaurant,"South Indian, North Indian, Fast Food, Street Food",50,4.2,Agra
GMB Fast Food,"North Indian, Fast Food",200,4.1,Ahmedabad
Gnanambiga Veg,"South Indian, North Indian",350,4.2,Chennai
GNG Bake House By Gayatri,Bakery,100,4.3,Ajmer
Go Pizza,Fast Food,100,3.5,Gorakhpur
Go Pizza,Fast Food,150,3.6,Dhanbad
Go Pizza,Fast Food,150,4.0,Varanasi
Go Pizza,Fast Food,250,4.0,Patna
Go Pizza,Indian,250,4.1,Gonda
Go Pizza Restaurant,"North Indian, Fast Food, Street Food",150,4.0,Meerut
Go Biryan,"North Indian, Biryani",250,4.0,Mumbai
Go Chaatiz,"Fast Food, Street Food",400,4.0,Guntur
Go China,Indian,350,3.4,Surat
Go Choco Vin Spicy Tadka,Fast Food,250,4.2,Jhansi
Go Cool,"Fast Food, Bakery",150,4.0,Bhubaneswar
Go Foodie,Indian,150,3.6,Guwahati
Go Frankie,Fast Food,100,4.3,Vadodara
Go Fresh The Pizza House,Fast Food,250,4.2,Hyderabad
Go Fro Frozen Yogurt More,Fast Food,150,4.2,NCR
Go Go Pizzeria,Fast Food,250,3.4,Amritsar
Go Go Pizzeriaa,Fast Food,100,3.0,Amritsar
Go Grill,"South Indian, North Indian, Biryani",150,3.9,Chennai
Go Paratha,North Indian,150,4.0,Jamshedpur
Go Pizza,Fast Food,100,4.0,Puducherry
Go Pizza,Fast Food,100,4.2,Varanasi
Go Punjab,North Indian,200,3.7,Surat
Go Pure Natural Ice Creams,Indian,150,4.3,Jodhpur
Go Pure Natural Ice Cream,Indian,100,4.3,Kota
Go Pure Natural Ice Creams,Indian,350,4.4,Jaipur
Go Pure Natural Ice creams,Indian,350,4.5,Ajmer
Go Shawarma,"Fast Food, Street Food",200,3.6,Thrissur
Go Yummy,Fast Food,100,4.0,Chandigarh
Go Zero Guilt Free Ice Creams,Indian,150,4.2,Mumbai
Go Zero Guilt Free Ice Creams,Indian,100,4.3,Indore
Go Pizza,Fast Food,250,4.0,Ranchi
Goa Food Express,"North Indian, Fast Food",150,3.8,Ajmer
Goan Gharguti Khanaval,Indian,150,3.5,Mumbai
Goan Swad,Indian,200,4.4,Belgaum
Gobble,"Fast Food, Street Food",150,3.6,Trichy
Gobblers,"North Indian, Fast Food, Biryani",200,4.1,Dharamshala
Gobblers Restro Caf,"North Indian, Fast Food",200,3.8,Patna
Gobblers Rolls Bowls,"North Indian, Fast Food",200,3.2,Jodhpur
Gobblers Rolls Bowls,North Indian,150,3.7,Hyderabad
Gobblers Rolls and Bowls,"North Indian, Fast Food",150,3.5,Patna
Gobblers Rolls Bowls Momos Shakes,"North Indian, Fast Food",100,4.2,Jaipur
Gobindam By South Express,"South Indian, North Indian",100,3.9,Bhubaneswar
Gochujang,Fast Food,250,3.9,Chandigarh
Go Cool,"Fast Food, Street Food, Bakery",150,4.3,Cuttack
Godavari Royyala Pakodi,Street Food,350,4.0,Guntur
GodFather Cafe,"North Indian, Fast Food, Street Food",100,3.7,Haridwar
Godinho Bar And Restaurant,North Indian,200,4.1,Goa
Godown Cafe,Fast Food,50,4.1,Kanpur
God s Plan,"North Indian, Fast Food, Street Food, Biryani",200,3.6,Bhopal
Godwin Restaurant,North Indian,100,4.1,Patiala
Godwit,"North Indian, Fast Food",200,3.9,Raipur
Goel Sweet Shop,Street Food,100,4.1,Haridwar
Goenchin,Indian,300,4.3,Goa
Goenkar,North Indian,300,3.3,Goa
Gofoodie,"North Indian, Fast Food, Street Food",100,3.4,Kota
Gogia Shudh Khoya And Paneer Bhandar,Street Food,400,4.4,NCR
Gogo Momo,Indian,150,4.2,Chennai
Gogo Pizza Master,Fast Food,200,3.3,NCR
GoGo Restaurant,"North Indian, Fast Food",250,4.0,Patiala
Gogoi Pork,Indian,250,4.2,Guwahati
Gogras,Indian,150,3.9,Kolkata
GoGreen by Nomad Pizza,Indian,200,4.0,Chandigarh
GoGreen by Nomad Pizza,Fast Food,100,4.3,NCR
Goila Butter Chicken,"North Indian, Biryani",150,3.3,Jamshedpur
Goila Butter Chicken,North Indian,450,3.7,Ludhiana
Goila Butter Chicken,North Indian,150,3.9,Jalandhar
Goila Butter Chicken,"North Indian, Biryani",300,3.9,Nashik
Goila Butter Chicken,"North Indian, Biryani",50,4.0,Bhubaneswar
Goila Butter Chicken,"North Indian, Biryani",150,4.0,Dehradun
Goila Butter Chicken,"North Indian, Biryani",250,4.0,Delhi NCR
Goila Butter Chicken,"North Indian, Biryani",350,4.0,Pune
Goila Butter Chicken,"North Indian, Biryani",50,4.1,Dhanbad
Goila Butter Chicken,North Indian,100,4.1,Gorakhpur
Goila Butter Chicken,"North Indian, Fast Food",100,4.1,Kanpur
Goila Butter Chicken,North Indian,100,4.1,Durgapur
Goila Butter Chicken,North Indian,100,4.1,Lucknow
Goila Butter Chicken,"North Indian, Biryani",100,4.1,Bangalore
Goila Butter Chicken,North Indian,200,4.1,Siliguri
Goila Butter Chicken,"North Indian, Street Food, Biryani",200,4.1,Guwahati
Goila Butter Chicken,"North Indian, Biryani",300,4.1,Mumbai
Goila Butter Chicken,North Indian,100,4.2,Meerut
Goila Butter Chicken,"North Indian, Biryani",150,4.2,Goa
Goila Butter Chicken,"North Indian, Biryani",300,4.2,Patna
Gokhale s Kitchen,"Fast Food, Street Food",300,4.2,Pune
Gokul,North Indian,100,4.4,Patna
Gokul Dhaba,"North Indian, Street Food",150,3.7,Chandigarh
Gokul Ice Creams,Indian,100,4.5,Mumbai
Gokul Pure Veg,"South Indian, North Indian, Fast Food, Biryani",150,4.1,Pune
Gokul Refreshment,"South Indian, Fast Food, Street Food",150,4.3,Mumbai
Gokul Shree,"North Indian, Fast Food",250,3.6,Kolkata
Gokul Sweets,Street Food,200,4.3,Guwahati
Gokul Veg,North Indian,100,4.3,Bangalore
Gol Roti Restaurant And Cafe,North Indian,300,3.8,Indore
Gola Sizzlers,"North Indian, Fast Food, Biryani",100,4.0,Dehradun
Gola Sizzlers Naresh Gola Group,North Indian,200,4.0,NCR
Golbari,Indian,150,4.0,Kolkata
Golconda,"North Indian, Biryani",150,4.2,Chandigarh
Gold Coins Eatery Bar,"North Indian, Biryani",200,4.2,Mumbai
Gold Fresh Juice Shop,Indian,200,4.2,Chennai
Gold Grain Bakery,Bakery,250,4.2,Jalandhar
Gold Rush,"South Indian, North Indian, Fast Food, Street Food",250,3.8,Mumbai
Golden Bakery,"Fast Food, Bakery",150,3.8,Chandigarh
Golden Bakery,Bakery,150,3.9,Patna
Golden Bakery,Bakery,300,4.0,Amravati
Golden Bakery Home,"Fast Food, Bakery",200,3.9,Jaipur
Golden Bird Hotel Pushpak,"North Indian, Biryani",300,4.2,Bhubaneswar
Golden Biryani Dhaba,Biryani,50,3.9,NCR
Golden Bowl,Indian,150,4.0,Kolkata
Golden Cake,Bakery,200,4.3,Pune
Golden Cake Shop,Bakery,150,3.3,Ludhiana
Golden Chillyz,Fast Food,150,4.2,Bhubaneswar
Golden China Restaurant,Indian,150,3.9,Agra
Golden City,Indian,100,4.3,Kolkata
Golden Curry The Family Restaurant,North Indian,150,3.9,Allahabad
Golden Delight,North Indian,200,3.6,Vellore
Golden Dragon,Indian,200,3.8,Goa
Golden Dragon,Indian,150,4.1,Pune
Golden Dragon,Indian,200,4.2,Surat
Golden Dragon,"North Indian, Fast Food, Biryani",200,4.3,Hyderabad
Golden Dragon,Fast Food,300,4.3,Varanasi
Golden Dum Biryani,"North Indian, Biryani",150,3.5,Sangli
Golden Flavour,"North Indian, Biryani",200,3.8,Patna
Golden Fork By Maurya Rajadhani,"South Indian, North Indian",200,4.1,Trivandrum
Golden Fried and Roasted,Fast Food,200,3.9,Ujjain
Golden Gate By Kumar s,"North Indian, Fast Food",150,3.6,Amritsar
Golden Goose,North Indian,250,4.3,Kolkata
Golden Harvest Airport Centre Point,North Indian,200,4.2,Nagpur
Golden Hut,"South Indian, North Indian, Biryani",100,3.8,Patiala
Golden Ice Cream,Indian,150,4.5,Patna
Golden Joy,Indian,150,4.1,Kolkata
Golden King Bakery,Bakery,100,3.4,Udaipur
Golden Kitchen Point,"North Indian, Fast Food, Biryani",100,3.5,Jabalpur
Golden Lawn,North Indian,400,4.2,Mumbai
Golden Leaf Restaurant,"South Indian, North Indian, Fast Food, Biryani",450,4.0,Jodhpur
Golden Nest,"North Indian, Fast Food",300,3.6,Jalgaon
Golden Pavilion,Biryani,200,4.1,Vijayawada
Golden Pearl,Fast Food,150,4.1,Surat
Golden Pizza Company,Indian,100,3.2,Mangalore
Golden Rasoi Restaurant,"North Indian, Biryani",100,3.9,Allahabad
Golden Restaurant,North Indian,200,3.5,Aligarh
Golden Restaurant,Indian,200,4.3,Mumbai
Golden Restaurant Rasal Ganj,North Indian,150,3.0,Aligarh
Golden Spoon,"North Indian, Fast Food",100,2.8,Dehradun
Golden Spoon,North Indian,100,4.0,Cuttack
Golden Spoon The Bakery Shop,Bakery,200,4.1,Kanpur
Golden Spoon Take Away,Indian,100,4.0,Cuttack
Golden Taj Dum Biryani House,"North Indian, Biryani",100,3.9,Warangal
Golden Taste Restaurant,North Indian,350,3.9,Jhansi
Golden Veggie The Veg Restaurant,North Indian,150,4.0,Allahabad
Golden Zaiqa Restaurant,"North Indian, Biryani",200,4.2,Hyderabad
Goldie s Roost,North Indian,150,4.1,Chandigarh
Goldy Juice Bar,Indian,40,4.3,Ludhiana
Goldy s Punjab Grill N Curry,"North Indian, Biryani",300,4.2,Nagpur
Golgappa Express,Street Food,150,4.1,Nagpur
Golghar Restaurant,North Indian,150,4.2,Nainital
Goli Vada Pav,"Fast Food, Street Food",100,3.8,Bikaner
Goli Vada Pav,Street Food,100,4.1,Patiala
Goli Vada Pav,"Fast Food, Street Food",150,4.1,Gorakhpur
Goli Vada Pav,"Fast Food, Street Food",250,4.5,Gonda
Goli Vada Pav No,"Fast Food, Street Food",100,4.2,Nagpur
Goli Vada Pav No,"Fast Food, Street Food",150,3.9,Dehradun
Goli Vada Pav No,Street Food,200,4.1,Varanasi
Goli Vada Pav No,"Fast Food, Street Food",400,4.1,Bangalore
Goli Vada Pav No,"Fast Food, Street Food",100,4.2,Bikaner
Goli Vada Pav No,"Fast Food, Street Food",200,4.2,Lucknow
Goli Vada Pav No,"Fast Food, Street Food",250,4.2,Nashik
Goli Vada Pav No,Street Food,100,4.3,Indore
Goli Vada Pav No,"Fast Food, Street Food",150,4.5,Raipur
Goli Vada Pav No Rani Bazar,Fast Food,150,3.7,Bikaner
Goli Vada Pav No,"Fast Food, Street Food",100,3.5,Firozabad
Goli Vada Pav No,"Fast Food, Street Food",100,4.1,Jalandhar
Goli Vada Pav No,Fast Food,300,4.3,Mysore
Goli Vada Pav Number,"Fast Food, Street Food",250,3.7,Jodhpur
Goli Vada Pav Pawanpuri,Fast Food,200,3.7,Bikaner
Goli Vadapav No,Street Food,150,4.2,Amravati
Goli Vadapav No,Street Food,150,4.2,Lucknow
Golmo Street Food Shop,"Fast Food, Street Food",200,3.8,Lucknow
Golu Di Hatti,North Indian,150,3.9,Chandigarh
Golu s Home Kitchen,Street Food,50,3.7,Ujjain
Gomantak,North Indian,50,4.0,Mumbai
Good Bakers,Bakery,150,3.5,Gorakhpur
Good Day Sweets Bakers,"Street Food, Bakery",150,4.4,Gorakhpur
Good Evening Pizza,Fast Food,200,3.4,Kanpur
Good Factory Cake Bakery,"Fast Food, Street Food, Bakery",200,3.7,Lucknow
Good Fettle Healthy Ice Creams,Indian,100,3.4,Nashik
Good Flippin Burgers,Fast Food,250,4.4,Delhi NCR
Good Flippin Burgers,Fast Food,200,4.5,Mumbai
Good Food Cafe,"North Indian, Biryani",200,3.5,Gaya
Good Food Family Restaurant,North Indian,400,3.7,Durgapur
Good Food Kitchen,"North Indian, Fast Food",150,4.2,Pune
Good Food Only,"North Indian, Fast Food, Biryani",150,3.3,Gorakhpur
Good Food Restaurant,"North Indian, Fast Food, Street Food",100,3.7,Bhopal
Good Food Restaurant,"South Indian, North Indian, Fast Food",100,4.1,Kanpur
Good Indian Home Food,"North Indian, Street Food",200,4.1,Agra
Good Kitchen,North Indian,200,3.9,Lucknow
Good Lands Restaurant,"North Indian, Biryani",200,4.2,Hyderabad
Good Luck Soft Biryani,"North Indian, Biryani",100,3.4,Patna
Good Mood Food,"Fast Food, Street Food",100,4.2,Jalgaon
Good Morning Bakers,"South Indian, Fast Food, Street Food, Bakery",100,4.6,Haridwar
Good Morning Fast Foods Fruit Juice,Indian,250,4.2,Vijayawada
Good Morning Howrah,Fast Food,50,3.7,Kolkata
Good Morning Restaurant,"North Indian, Street Food",200,4.2,Jodhpur
Good Morning Tea Fast food,South Indian,100,3.5,Vijayawada
Good Morning Tea Fast food,South Indian,350,4.2,Vijayawada
Good Rest Jai Ram Hotel,North Indian,250,4.1,Gaya
Good Spoon Lounge Restaurant,"North Indian, Fast Food",150,3.5,Ranchi
Good Times Cafe,"North Indian, Fast Food",250,3.6,Kota
Goodies Bakery,Bakery,50,3.5,Cuttack
Goodies Bakery,Bakery,200,4.3,Vadodara
Goodies Cafeteria,"North Indian, Fast Food",100,3.8,Vadodara
Goodluck Cafe,"North Indian, Fast Food, Street Food, Biryani",100,3.9,Pune
Goody Foody,Fast Food,250,4.1,Raipur
Goofy s Pizza,Indian,150,3.7,Jaipur
Goonj,"North Indian, Fast Food",150,3.4,Bareilly
Gopal Bakers Sweets,Bakery,100,2.8,Gorakhpur
Gopal Bakery,Bakery,150,3.5,Bareilly
Gopal Bakery,Bakery,300,3.7,Bhopal
Gopal Cake Shop,Bakery,100,3.1,Bhavnagar
Gopal Foods,"North Indian, Fast Food",150,3.8,NCR
Gopal Foods,"North Indian, Fast Food",100,3.9,Delhi NCR
Gopal Jee Ki Rasoi,North Indian,250,4.2,NCR
Gopal Ji Confectioners,"North Indian, Fast Food",100,4.2,Chandigarh
Gopal Ji Food Restaurant,"Fast Food, Street Food",100,4.0,Ludhiana
Gopal Kitchen s,"North Indian, Fast Food, Street Food",150,3.2,Gorakhpur
Gopal Krishna Veg,"South Indian, North Indian, Biryani",200,4.2,Mumbai
Gopal Maharaj,North Indian,250,4.0,Guwahati
Gopal Misthan Bhandar Hathras Wale,Indian,500,3.9,Kanpur
Gopal Sharma Bhature Bhandar,"South Indian, North Indian, Fast Food",350,3.8,Aligarh
Gopal Sweet House,Street Food,250,4.4,Allahabad
Gopal Sweets,"North Indian, Fast Food, Bakery",300,4.1,Ludhiana
Gopal Sweets Corner,Street Food,200,4.3,NCR
Gopala,"Street Food, Bakery",100,4.5,NCR
Gopala,"Street Food, Bakery",300,4.5,Delhi NCR
Gopala s,"South Indian, North Indian",200,4.3,Kolkata
Gopaldas Parathe Wale,North Indian,300,3.8,Agra
Gopaldas Pethe Wale,Street Food,150,4.4,Agra
Gopaljee Cafe,"North Indian, Street Food",100,4.1,Bangalore
Gopal s,"South Indian, North Indian",100,3.6,Dhanbad
Gopal s,"South Indian, North Indian, Fast Food, Street Food",350,3.8,Patiala
Gopal s,"South Indian, North Indian, Fast Food, Bakery",100,3.9,Patiala
Gopal s,"South Indian, North Indian, Fast Food, Street Food",150,4.1,Chandigarh
Gopal s,"North Indian, Fast Food",100,4.2,Rishikesh
GoParatha,North Indian,150,4.5,Coimbatore
Gopeshwar Yadav Dhaba Purana,North Indian,250,3.6,Agra
Gopi Dining Hall,Indian,250,3.8,Ahmedabad
Gopi Ram Poori Wale,Street Food,100,4.0,Jalandhar
Gopiz,North Indian,150,4.1,Lucknow
GOPIZZA,Fast Food,100,4.1,Bangalore
Gorakhpur Dinner Point Family Restaurant,North Indian,150,3.3,Gorakhpur
Goras Gujarati Thali,Indian,200,3.5,Surat
Gordhan Thal,Indian,50,3.4,Udaipur
Gordhan Thal,"North Indian, Fast Food, Street Food",100,3.6,Indore
Gorkha s Kitchen,Fast Food,200,3.6,Siliguri
Goru Ka Dhaba,"South Indian, North Indian, Biryani",50,3.5,Jodhpur
Goru Sweet Home,Indian,100,3.9,Jodhpur
Gosht Dost,"North Indian, Biryani",150,4.1,Raipur
Gosip,"Fast Food, Street Food",100,4.3,Chennai
Gossip Cake My World,"Fast Food, Bakery",150,4.1,Kota
Gossip Fusion,"North Indian, Fast Food, Street Food, Biryani",250,3.6,Belgaum
Goswami Momos,Fast Food,100,4.1,Indore
Goswami Veg Restaurant,"South Indian, North Indian, Bakery",150,3.8,Nagpur
Got Kitchen,North Indian,100,3.7,Dehradun
Gourav Snacks,Street Food,40,4.4,Ujjain
Gouri In Royal Regal Pure Veg Restaurant,"South Indian, Fast Food, Biryani",350,3.7,Amravati
Gourmestan,Bakery,100,4.0,Kolkata
Gourmet Fast Food,"North Indian, Fast Food",100,3.7,Vadodara
Gourmet Ice Cream Cake By Baskin Robbins,Bakery,150,4.0,Agra
Gourmet Ice Cream Cake By Baskin Robbins,Bakery,100,4.3,Kanpur
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,100,3.5,Tirunelveli
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,300,3.6,Lucknow
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,100,3.7,Jabalpur
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,100,3.9,Kota
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,3.9,Coimbatore
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,200,3.9,NCR
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,350,3.9,Surat
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,100,4.0,Moradabad
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,100,4.0,Saharanpur
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,4.0,Bareilly
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,4.0,Bhopal
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,200,4.0,Chennai
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,250,4.0,Allahabad
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,350,4.0,Amritsar
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,4.2,Thrissur
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,4.2,Patiala
Gourmet Ice Cream Cakes by Baskin Robbins,Indian,150,4.2,Kolkata
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,200,4.2,Chandigarh
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,450,4.2,Jalandhar
Gourmet Ice Cream Cakes by Baskin Robbins,Bakery,150,4.3,Mumbai
Gourmet Kitchen Hotel Bharalu Residency,North Indian,250,4.2,Guwahati
Gourmet Lounge,"North Indian, Fast Food, Biryani",300,4.1,Bhopal
Gourmet Pizza,"North Indian, Fast Food",100,3.8,Allahabad
Gourmet Studio Maharaja Palazzo,"North Indian, Fast Food, Biryani",100,4.3,Ludhiana
Gourmet Studio Maharaja Regency,North Indian,50,4.3,Ludhiana
Gouse Shawarma,Indian,150,3.8,Vijayawada
Goutam s,Fast Food,250,3.9,Kolkata
Govardhan Pan Palace,Indian,100,4.7,Raipur
Govardhan Vegetarian,"South Indian, North Indian",150,4.2,NCR
Goverdhan Restaurant and Rooftop Cafe,North Indian,100,4.1,Indore
Goverdhan Bakery,"Fast Food, Bakery",50,3.9,Agra
Goverdhan Kitchen,Indian,350,4.1,Jaipur
Govind Dosa,South Indian,100,4.2,Hyderabad
Govind Gopal Hotel,Biryani,100,3.7,Hyderabad
Govinda Dhaba,North Indian,300,3.5,Patna
Govinda Sweets,Indian,50,3.7,Jamshedpur
Govinda Sweets,"South Indian, Fast Food",150,4.0,Dhanbad
Govindam Sweets,Street Food,200,4.5,Guwahati
Govinda s,"South Indian, North Indian",100,4.3,Kolkata
Govinda s Restaurant,North Indian,250,4.4,Hyderabad
Govinda s Snacks Centre Camp ISKCON,"South Indian, Fast Food, Street Food, Bakery",150,4.6,Pune
